player,prop_type,line,projection,raw_edge,avg_edge,confidence,recommended_side,recent_avg,season_avg,hit_rate_over,hit_rate_under,trend,games_analyzed,bookmaker,odds,over_odds,under_odds,implied_prob,market_prob,our_prob,adjustments,is_b2b,rest_days,minutes_factor,minutes_trend,game,home_team,away_team,opponent,opp_defense_rank,matchup_label,team_pace_rank,opp_pace_rank,flags,player_status,context_quality
Nikola Jokic,assists,6.5,10.5,61.6,18.5,84.0,OVER,10.0,10.9,96.0,4.0,COLD,26,fanduel,-152,-152,114,56.3,56.3,74.8,opp_defense: -5.5% | location: +2.5% | pace: -1.5% | minutes: +2.5%,False,,1.0,STABLE,Houston Rockets @ Denver Nuggets,Denver Nuggets,Houston Rockets,HOU,24.0,HARD,,,,HEALTHY,77
Jamal Murray,points,19.5,31.0,58.8,17.6,58.0,OVER,27.0,25.2,72.0,28.0,NEUTRAL,25,fanduel,-106,-106,-125,48.1,48.1,65.7,opp_defense: -1.6% | location: +2.5% | pace: -1.5% | minutes: +1.6% | usage_rate: +1.9% | shot_volume: +7.9%,False,,1.0,STABLE,Houston Rockets @ Denver Nuggets,Denver Nuggets,Houston Rockets,HOU,19.0,NEUTRAL,,,VOL UP,HEALTHY,83
Tidjane Salaun,rebounds,2.5,3.9,57.8,17.3,48.0,OVER,3.4,3.6,64.0,36.0,COLD,14,fanduel,-174,-174,136,60.0,60.0,77.3,minutes: +10.0%,False,,1.0,STABLE,Charlotte Hornets @ Detroit Pistons,Detroit Pistons,Charlotte Hornets,,,NEUTRAL,,,MINS UP,HEALTHY,23
Pascal Siakam,threes,1.5,2.4,57.6,17.3,41.0,OVER,1.8,1.7,50.0,50.0,NEUTRAL,26,fanduel,-128,-128,100,52.9,52.9,70.2,opp_defense: +14.1% | location: -2.0% | pace: +0.7% | minutes: -2.3% | injury_boost: +5.0% | usage_rate: +2.5% | shot_volume: +7.7%,False,,1.0,STABLE,Indiana Pacers @ New Orleans Pelicans,New Orleans Pelicans,Indiana Pacers,NOP,1.0,SMASH,,,SMASH SPOT | INJ BOOST +5% | HIGH USG | VOL UP,HEALTHY,96
Ron Holland,points,6.5,10.0,54.5,16.3,54.0,OVER,10.8,8.3,63.0,37.0,HOT,27,fanduel,100,100,-128,47.1,47.1,63.4,minutes: -7.0% | usage_rate: -0.6% | shot_volume: +8.0% | ts_regression: +1.8%,False,,1.0,STABLE,Charlotte Hornets @ Detroit Pistons,Detroit Pistons,Charlotte Hornets,,,NEUTRAL,,,MINS DOWN | VOL UP,HEALTHY,42
Naji Marshall,points,11.5,17.6,53.0,15.9,51.0,OVER,16.2,12.9,54.0,46.0,HOT,28,fanduel,-111,-111,-115,49.6,49.6,65.5,opp_defense: -2.7% | location: -2.0% | pace: -0.3% | minutes: +10.0% | usage_rate: -1.1% | shot_volume: +4.7% | ts_regression: +3.4%,False,,1.0,STABLE,Dallas Mavericks @ Philadelphia 76ers,Philadelphia 76ers,Dallas Mavericks,PHI,25.0,HARD,,,MINS UP | VOL UP,HEALTHY,86
Jabari Smith Jr,points,11.5,17.2,49.7,14.9,72.0,OVER,16.8,15.3,83.0,17.0,HOT,23,fanduel,-110,-110,-120,49.0,49.0,63.9,minutes: +10.0% | usage_rate: -0.7% | shot_volume: -6.8%,False,,1.0,STABLE,Houston Rockets @ Denver Nuggets,Denver Nuggets,Houston Rockets,,,NEUTRAL,,,MINS UP | VOL DOWN,HEALTHY,39
Andrew Nembhard,points,17.5,26.1,48.9,14.7,65.0,OVER,19.8,18.0,47.0,53.0,HOT,19,fanduel,100,100,-128,47.1,47.1,61.8,opp_defense: +6.5% | location: -2.0% | pace: +0.7% | minutes: +6.4% | injury_boost: +8.0% | usage_rate: +1.3% | shot_volume: +7.7%,False,,1.0,STABLE,Indiana Pacers @ New Orleans Pelicans,New Orleans Pelicans,Indiana Pacers,NOP,3.0,SMASH,,,SMASH SPOT | MINS UP | INJ BOOST +8% | VOL UP,HEALTHY,96
Anfernee Simons,threes,2.5,1.3,-49.1,14.7,50.0,UNDER,1.4,2.3,33.0,67.0,COLD,27,fanduel,-154,122,-154,57.4,57.4,72.1,opp_defense: -4.8% | location: -2.0% | rest: -8.0% | pace: -1.9% | minutes: -2.3% | usage_rate: +0.5% | shot_volume: -4.1%,True,,1.0,STABLE,Boston Celtics @ Toronto Raptors,Toronto Raptors,Boston Celtics,TOR,22.0,HARD,,,B2B | VOL DOWN,HEALTHY,91
Cooper Flagg,points,18.5,27.4,48.1,14.4,56.0,OVER,24.4,18.6,44.0,56.0,HOT,27,fanduel,-111,-111,-115,49.6,49.6,64.0,minutes: +5.7% | usage_rate: +0.8% | shot_volume: +8.0%,False,,1.0,STABLE,Dallas Mavericks @ Philadelphia 76ers,Philadelphia 76ers,Dallas Mavericks,,,NEUTRAL,,,MINS UP | VOL UP,HEALTHY,39
Bruce Brown,rebounds,7.5,4.1,-45.2,13.6,75.0,UNDER,3.8,3.8,4.0,96.0,HOT,26,fanduel,-172,128,-172,59.0,59.0,72.6,minutes: +10.0%,False,,1.0,STABLE,Houston Rockets @ Denver Nuggets,Denver Nuggets,Houston Rockets,,,NEUTRAL,,,MINS UP,HEALTHY,33
Alperen Sengun,rebounds,6.5,9.4,45.2,13.6,58.0,OVER,10.8,9.5,77.0,23.0,HOT,22,fanduel,-118,-118,-112,50.6,50.6,64.2,opp_defense: -7.2% | location: -2.0% | pace: -1.5% | minutes: +0.5%,False,,1.0,STABLE,Houston Rockets @ Denver Nuggets,Denver Nuggets,Houston Rockets,DEN,27.0,TOUGH,,,TOUGH DEF,HEALTHY,77
Quentin Grimes,points,18.5,10.1,-45.2,13.6,57.0,UNDER,11.6,15.7,36.0,64.0,COLD,25,fanduel,-125,-102,-125,52.4,52.4,65.9,opp_defense: -2.7% | location: -2.0% | rest: -8.0% | pace: -0.3% | minutes: -6.4% | usage_rate: -0.1% | shot_volume: -8.0%,True,,1.0,STABLE,Dallas Mavericks @ Philadelphia 76ers,Philadelphia 76ers,Dallas Mavericks,PHI,25.0,HARD,,,B2B | MINS DOWN | VOL DOWN,HEALTHY,91
Trey Murphy III,points,19.5,28.2,44.4,13.3,65.0,OVER,25.2,21.3,65.0,35.0,HOT,26,fanduel,-113,-113,-113,50.0,50.0,63.3,opp_defense: +3.6% | location: +2.5% | pace: +0.7% | minutes: -1.1% | usage_rate: +0.4% | shot_volume: +1.5% | ts_regression: +3.9%,False,,1.0,STABLE,Indiana Pacers @ New Orleans Pelicans,New Orleans Pelicans,Indiana Pacers,IND,6.0,GOOD,,,,HEALTHY,86
Jamal Shead,points,7.5,10.6,41.9,12.6,50.0,OVER,10.4,6.4,43.0,57.0,HOT,28,fanduel,-122,-122,-104,51.9,51.9,64.4,minutes: +10.0% | usage_rate: -1.4% | shot_volume: +8.0% | ts_regression: -3.0%,False,,1.0,STABLE,Boston Celtics @ Toronto Raptors,Toronto Raptors,Boston Celtics,,,NEUTRAL,,,MINS UP | VOL UP,HEALTHY,42
Jabari Smith Jr,threes,1.5,2.1,41.9,12.6,45.0,OVER,2.0,2.0,65.0,35.0,NEUTRAL,23,fanduel,-168,-168,126,58.6,58.6,71.2,minutes: +10.0% | usage_rate: -0.7% | shot_volume: -6.8%,False,,1.0,STABLE,Houston Rockets @ Denver Nuggets,Denver Nuggets,Houston Rockets,,,NEUTRAL,,,MINS UP | VOL DOWN,HEALTHY,39
