player,prop_type,line,projection,raw_edge,avg_edge,confidence,recommended_side,recent_avg,season_avg,hit_rate_over,hit_rate_under,trend,games_analyzed,bookmaker,odds,over_odds,under_odds,implied_prob,market_prob,our_prob,adjustments,is_b2b,minutes_factor,game,home_team,away_team
Jamal Murray,threes,2.5,3.6,46.0,7.4,56.0,OVER,3.8,3.2,57.0,43.0,HOT,23,fanduel,-138,-138,104,58.0,54.2,65.4,Home: 0.95x | Rested: 1.03x,False,0.93,Houston Rockets @ Denver Nuggets,Denver Nuggets,Houston Rockets
Jaylen Wells,points,12.5,16.6,32.8,7.4,66.0,OVER,17.4,12.4,48.0,52.0,HOT,25,fanduel,102,102,-136,49.5,46.2,56.9,Rested: 1.03x,False,1.08,Memphis Grizzlies @ Los Angeles Clippers,Los Angeles Clippers,Memphis Grizzlies
Max Christie,points,10.5,11.9,13.4,7.4,73.0,OVER,10.4,12.0,62.0,38.0,COLD,26,fanduel,-106,-106,-125,51.5,48.1,58.8,Rested: 1.03x,False,0.96,Dallas Mavericks @ Utah Jazz,Utah Jazz,Dallas Mavericks
Jordan Walsh,rebounds,5.5,6.9,25.7,7.3,60.0,OVER,6.2,5.0,62.0,38.0,HOT,21,fanduel,-146,-146,114,59.3,55.9,66.7,Rested: 1.03x | Mins: 1.15x,False,1.24,Detroit Pistons @ Boston Celtics,Boston Celtics,Detroit Pistons
Jakob Poeltl,points,10.5,7.7,-27.1,7.2,58.0,UNDER,8.8,10.2,42.0,58.0,COLD,19,fanduel,-130,102,-130,56.5,53.3,63.7,Home: 0.79x | Rested: 1.03x,False,1.01,Toronto Raptors @ Miami Heat,Miami Heat,Toronto Raptors
Cam Spencer,assists,3.5,5.3,50.3,7.1,67.0,OVER,5.2,3.9,48.0,52.0,HOT,25,fanduel,-102,-102,-130,50.5,47.2,57.6,Home: 0.91x | Rested: 1.03x | Mins: 1.15x,False,1.2,Memphis Grizzlies @ Los Angeles Clippers,Los Angeles Clippers,Memphis Grizzlies
Sam Hauser,rebounds,3.5,2.5,-28.6,6.9,67.0,UNDER,3.8,3.5,40.0,60.0,HOT,25,fanduel,-150,118,-150,60.0,56.7,66.9,Home: 0.66x | Rested: 1.03x,False,1.0,Detroit Pistons @ Boston Celtics,Boston Celtics,Detroit Pistons
Alperen Sengun,rebounds,8.5,9.5,12.2,6.8,68.0,OVER,8.6,9.4,60.0,40.0,COLD,20,fanduel,-102,-102,-130,50.5,47.2,57.2,Home: 1.05x | Rested: 1.03x,False,0.93,Houston Rockets @ Denver Nuggets,Denver Nuggets,Houston Rockets
Norman Powell,points,22.5,24.6,9.5,6.4,71.0,OVER,25.0,24.6,60.0,40.0,NEUTRAL,20,fanduel,100,100,-128,50.0,47.1,56.4,Rested: 1.03x,False,1.03,Toronto Raptors @ Miami Heat,Miami Heat,Toronto Raptors
Cade Cunningham,assists,8.5,9.3,9.8,6.3,72.0,OVER,8.4,9.1,59.0,41.0,COLD,22,fanduel,102,102,-130,49.5,46.7,55.8,Home: 1.06x | Rested: 1.03x,False,0.92,Detroit Pistons @ Boston Celtics,Boston Celtics,Detroit Pistons
