player,prop_type,line,projection,raw_edge,avg_edge,confidence,recommended_side,recent_avg,season_avg,hit_rate_over,hit_rate_under,trend,games_analyzed,bookmaker,odds,over_odds,under_odds,implied_prob,market_prob,our_prob,adjustments,is_b2b,rest_days,minutes_factor,minutes_trend,game,home_team,away_team,opponent,opp_defense_rank,matchup_label,team_pace_rank,opp_pace_rank,news_status,news_adjustment,news_flags,news_notes,news_sources
Jaylen Brown,points,29.5,32.0,8.3,3.1,77.0,OVER,33.2,29.3,60.0,40.0,HOT,25,fanduel,-125,-125,-102,55.6,52.4,58.7,Rested: 1.03x | Vol↓: 0.93x | HOT: 1.03x (64% TS),False,4,1.08,UP,Miami Heat @ Boston Celtics,Boston Celtics,Miami Heat,MIA,15,NEUTRAL,30,1,NO_NEWS,,,No player news found,
Cason Wallace,points,6.5,6.9,6.7,3.1,70.0,OVER,7.6,8.3,62.0,38.0,COLD,26,fanduel,-128,-128,100,56.1,52.9,59.2,Home: 1.12x | B2B: 0.93x | Mins: 0.89x | Vol↓: 0.95x | HOT: 1.02x (58% TS),True,1,0.89,DOWN,Oklahoma City Thunder @ Minnesota Timberwolves,Minnesota Timberwolves,Oklahoma City Thunder,MIN,18,NEUTRAL,9,14,NO_NEWS,,,No player news found,
Vit Krejci,threes,2.5,2.4,-2.1,-3.6,52.0,UNDER,3.2,2.5,42.0,58.0,HOT,24,fanduel,-172,134,-172,63.2,59.7,59.6,Home: 0.87x | B2B: 0.93x | Mins: 1.15x | Vol↓: 0.92x | HOT: 1.04x (80% TS),True,1,1.15,UP,San Antonio Spurs @ Atlanta Hawks,Atlanta Hawks,San Antonio Spurs,SAS,27,TOUGH,6,19,NO_NEWS,,,,
Rudy Gobert,rebounds,10.5,10.1,-3.6,-4.5,71.0,UNDER,11.4,10.5,52.0,48.0,HOT,27,fanduel,-128,100,-128,56.1,52.9,51.6,Home: 0.92x,False,2,0.92,DOWN,Oklahoma City Thunder @ Minnesota Timberwolves,Minnesota Timberwolves,Oklahoma City Thunder,OKC,30,TOUGH,14,9,NO_NEWS,,,,
Quentin Grimes,threes,2.5,2.3,-8.0,-4.6,57.0,UNDER,2.6,2.4,50.0,50.0,HOT,24,fanduel,-154,120,-154,60.6,57.2,56.0,Rested: 1.03x | Vol↓: 0.92x,False,5,1.04,STABLE,Philadelphia 76ers @ New York Knicks,New York Knicks,Philadelphia 76ers,NYK,23,HARD,21,26,NO_NEWS,,,No player news found,
Cason Wallace,threes,1.5,1.3,-14.3,-4.9,62.0,UNDER,1.6,1.5,46.0,54.0,HOT,26,fanduel,-215,164,-215,68.3,64.3,63.4,Home: 1.10x | B2B: 0.93x | Mins: 0.89x | Vol↓: 0.95x | HOT: 1.02x (58% TS),True,1,0.89,DOWN,Oklahoma City Thunder @ Minnesota Timberwolves,Minnesota Timberwolves,Oklahoma City Thunder,MIN,18,NEUTRAL,9,14,NO_NEWS,,,No player news found,
Jaylon Tyson,points,16.5,19.6,18.8,-5.0,60.0,OVER,17.0,13.5,35.0,65.0,HOT,23,fanduel,-113,-113,-113,53.1,50.0,48.0,Home: 1.06x | Mins: 1.15x | HOT: 1.01x (70% TS),False,2,1.16,UP,Chicago Bulls @ Cleveland Cavaliers,Cleveland Cavaliers,Chicago Bulls,CHI,4,SMASH,13,2,NO_NEWS,,,,
Josh Giddey,rebounds,8.5,8.1,-4.5,-5.6,68.0,UNDER,7.0,9.4,58.0,42.0,COLD,24,fanduel,-111,-115,-111,52.6,49.6,47.0,None,False,2,0.95,STABLE,Chicago Bulls @ Cleveland Cavaliers,Cleveland Cavaliers,Chicago Bulls,CLE,11,NEUTRAL,2,13,NO_NEWS,,,,
Anthony Edwards,threes,2.5,2.5,-1.9,-5.7,49.0,UNDER,3.0,3.4,65.0,35.0,COLD,20,fanduel,122,-156,122,45.0,42.5,39.3,Home: 0.69x | Rested: 1.03x | Mins: 1.10x | Vol↓: 0.92x | HOT: 1.03x (71% TS),False,11,1.1,UP,Oklahoma City Thunder @ Minnesota Timberwolves,Minnesota Timberwolves,Oklahoma City Thunder,OKC,30,TOUGH,14,9,NO_NEWS,,,No player news found,
Simone Fontecchio,rebounds,3.5,3.7,4.7,-6.3,63.0,OVER,3.6,3.0,46.0,54.0,HOT,26,fanduel,-140,-140,110,58.3,55.1,52.0,Home: 1.15x | B2B: 0.93x,True,1,1.02,STABLE,Miami Heat @ Boston Celtics,Boston Celtics,Miami Heat,BOS,29,TOUGH,1,30,NO_NEWS,,,,
Zaccharie Risacher,points,10.5,10.2,-2.6,-6.6,64.0,UNDER,9.2,11.0,56.0,44.0,COLD,25,fanduel,-125,-102,-125,55.6,52.4,49.0,Home: 1.28x | B2B: 0.93x | Mins: 0.88x | Vol↓: 0.95x | HOT: 1.02x (59% TS),True,1,0.88,DOWN,San Antonio Spurs @ Atlanta Hawks,Atlanta Hawks,San Antonio Spurs,SAS,27,TOUGH,6,19,NO_NEWS,,,,
De'Aaron Fox,pra,29.5,24.0,-18.5,-6.6,61.0,UNDER,26.2,32.5,67.0,33.0,COLD,18,fanduel,-120,-106,-120,54.5,51.5,47.9,B2B: 0.93x | Vol↓: 0.92x | COLD: 0.98x (56% TS),True,1,0.96,STABLE,San Antonio Spurs @ Atlanta Hawks,Atlanta Hawks,San Antonio Spurs,ATL,8,GOOD,19,6,NO_NEWS,,,No player news found,
Shai Gilgeous-Alexander,pra,42.5,41.2,-3.2,-7.0,75.0,UNDER,42.0,43.5,62.0,38.0,NEUTRAL,26,fanduel,-106,-120,-106,51.5,48.5,44.5,B2B: 0.93x | HOT: 1.02x (72% TS),True,1,0.96,STABLE,Oklahoma City Thunder @ Minnesota Timberwolves,Minnesota Timberwolves,Oklahoma City Thunder,MIN,18,NEUTRAL,9,14,NO_NEWS,,,,
Isaiah Hartenstein,pra,20.5,17.2,-16.2,-7.0,60.0,UNDER,22.4,26.0,70.0,30.0,COLD,20,fanduel,-104,-122,-104,51.0,48.1,43.9,Home: 0.88x | Rested: 1.03x | Mins: 0.88x | Vol↓: 0.94x | COLD: 0.96x (58% TS),False,6,0.88,DOWN,Oklahoma City Thunder @ Minnesota Timberwolves,Minnesota Timberwolves,Oklahoma City Thunder,MIN,18,NEUTRAL,9,14,NO_NEWS,,,No player news found,
Mikal Bridges,threes,1.5,1.5,-3.3,-7.8,48.0,UNDER,1.4,2.3,73.0,27.0,COLD,26,fanduel,138,-178,138,42.0,39.6,34.3,Home: 0.82x | B2B: 0.93x | Vol↑: 1.08x | COLD: 0.95x (53% TS),True,1,0.98,STABLE,Philadelphia 76ers @ New York Knicks,New York Knicks,Philadelphia 76ers,PHI,25,HARD,26,21,NO_NEWS,,,No player news found,
Josh Giddey,assists,8.5,8.0,-6.0,-7.9,67.0,UNDER,7.6,8.9,58.0,42.0,COLD,24,fanduel,-136,106,-136,57.6,54.3,49.8,None,False,2,0.95,STABLE,Chicago Bulls @ Cleveland Cavaliers,Cleveland Cavaliers,Chicago Bulls,CLE,11,NEUTRAL,2,13,NO_NEWS,,,No player news found,
Jordan Walsh,rebounds,6.5,7.0,7.5,-8.3,51.0,OVER,6.2,5.0,27.0,73.0,HOT,22,fanduel,118,118,-150,45.9,43.3,37.6,Rested: 1.03x | Mins: 1.15x,False,4,1.24,UP,Miami Heat @ Boston Celtics,Boston Celtics,Miami Heat,MIA,15,NEUTRAL,30,1,NO_NEWS,,,No player news found,
Coby White,pra,29.5,24.4,-17.3,-8.6,52.0,UNDER,27.0,30.2,70.0,30.0,COLD,10,fanduel,-120,-106,-120,54.5,51.5,45.9,Home: 0.91x | Vol↓: 0.93x,False,2,0.96,STABLE,Chicago Bulls @ Cleveland Cavaliers,Cleveland Cavaliers,Chicago Bulls,CLE,11,NEUTRAL,2,13,NO_NEWS,,,,
Jalen Johnson,pra,43.5,44.7,2.7,-9.0,70.0,OVER,49.6,42.3,36.0,64.0,HOT,25,fanduel,-111,-111,-115,52.6,49.6,43.6,B2B: 0.93x | Vol↑: 1.08x | COLD: 0.97x (56% TS),True,1,1.05,STABLE,San Antonio Spurs @ Atlanta Hawks,Atlanta Hawks,San Antonio Spurs,SAS,27,TOUGH,6,19,NO_NEWS,,,No player news found,
