player,prop_type,line,projection,raw_edge,avg_edge,confidence,grade,recommended_side,recent_avg,season_avg,hit_rate_over,hit_rate_under,trend,games_analyzed,bookmaker,odds,implied_prob,our_prob,adjustments,is_b2b,minutes_factor
Ryan Rollins,points,14.5,17.0,17.1,-13.7,68.0,46.8,OVER,14.4,17.2,50.0,50.0,COLD,26,bovada,-260,72.2,58.5,Home: 1.06x | Rested: 1.03x,False,0.96
De'Andre Hunter,points,14.5,13.3,-8.1,-16.6,63.0,45.9,UNDER,11.0,15.9,59.0,41.0,COLD,22,bovada,-160,61.5,44.9,,False,0.97
Noah Clowney,points,14.5,21.6,49.1,19.9,58.0,45.8,OVER,17.6,13.2,46.0,54.0,HOT,24,draftkings,-102,50.5,70.4,Home: 1.14x | Mins: 1.14x,False,1.14
Ryan Rollins,points,15.5,17.0,9.5,-11.9,68.0,45.6,OVER,14.4,17.2,50.0,50.0,COLD,26,bovada,-200,66.7,54.8,Home: 1.06x | Rested: 1.03x,False,0.96
Onyeka Okongwu,assists,3.5,3.5,0.6,-4.5,59.0,45.2,OVER,4.0,3.0,36.0,64.0,HOT,25,bovada,145,40.8,36.3,,False,1.06
Jalen Johnson,points,26.5,28.4,7.2,-14.7,63.0,44.9,OVER,28.0,23.2,26.0,74.0,HOT,23,bovada,125,44.4,29.7,Mins: 1.10x,False,1.1
Noah Clowney,rebounds,4.5,5.5,22.1,-6.5,56.0,44.5,OVER,4.6,3.8,29.0,71.0,HOT,24,fanduel,114,46.7,40.2,Home: 1.16x | Mins: 1.14x,False,1.14
Jalen Johnson,points,25.5,28.4,11.4,-12.6,65.0,44.0,OVER,28.0,23.2,30.0,70.0,HOT,23,bovada,105,48.8,36.1,Mins: 1.10x,False,1.1
Zaccharie Risacher,pra,15.5,16.7,7.8,-4.8,67.0,43.8,OVER,13.0,15.4,48.0,52.0,COLD,23,betmgm,-130,56.5,51.7,Home: 1.19x,False,0.98
Jalen Johnson,points,27.5,28.4,3.3,-12.3,63.0,43.1,OVER,28.0,23.2,26.0,74.0,HOT,23,bovada,150,40.0,27.7,Mins: 1.10x,False,1.1
Jalen Johnson,points,22.5,28.4,26.3,5.4,73.0,43.0,OVER,28.0,23.2,57.0,43.0,HOT,23,bovada,-180,64.3,69.7,Mins: 1.10x,False,1.1
Gary Trent Jr,threes,1.5,2.1,39.7,8.1,64.0,42.8,OVER,1.8,2.2,62.0,38.0,COLD,26,bovada,-275,73.3,81.4,Rested: 1.03x,False,0.96
Ryan Rollins,points,17.5,17.0,-3.0,5.7,71.0,42.3,UNDER,14.4,17.2,42.0,58.0,COLD,26,betrivers,-115,53.5,59.2,Home: 1.06x | Rested: 1.03x,False,0.96
Gary Trent Jr,points,9.5,9.9,4.5,-8.8,66.0,42.1,OVER,9.4,9.8,54.0,46.0,NEUTRAL,26,bovada,-185,64.9,56.1,Rested: 1.03x,False,0.96
Bobby Portis,points,14.5,17.7,21.8,-15.5,57.0,41.8,OVER,16.2,12.0,23.0,77.0,HOT,26,fanduel,102,49.5,34.0,Home: 1.18x | Rested: 1.03x,False,1.06
Gary Trent Jr,assists,1.5,1.4,-3.5,-3.3,56.0,41.5,UNDER,1.4,1.8,54.0,46.0,COLD,26,betmgm,-105,51.2,47.9,Home: 0.94x | Rested: 1.03x,False,0.96
Gary Trent Jr,points,8.5,9.9,16.8,-6.1,67.0,40.8,OVER,9.4,9.8,58.0,42.0,NEUTRAL,26,bovada,-260,72.2,66.1,Rested: 1.03x,False,0.96
Bobby Portis,points,16.5,17.7,7.0,-15.0,55.0,40.7,OVER,16.2,12.0,19.0,81.0,HOT,26,bovada,165,37.7,22.7,Home: 1.18x | Rested: 1.03x,False,1.06
Ryan Rollins,threes,1.5,1.9,28.3,6.9,61.0,40.2,OVER,1.8,2.3,62.0,38.0,COLD,26,bovada,-220,68.8,75.7,Home: 0.94x | Rested: 1.03x,False,0.96
Bobby Portis,points,15.5,17.7,13.9,-13.4,57.0,40.2,OVER,16.2,12.0,23.0,77.0,HOT,26,bovada,130,43.5,30.0,Home: 1.18x | Rested: 1.03x,False,1.06
Gary Trent Jr,points,10.5,9.9,-5.5,-7.6,64.0,40.0,UNDER,9.4,9.8,54.0,46.0,NEUTRAL,26,draftkings,-130,56.5,48.9,Rested: 1.03x,False,0.96
Bobby Portis,points,13.5,17.7,30.8,-12.2,58.0,40.0,OVER,16.2,12.0,27.0,73.0,HOT,26,betmgm,-120,54.5,42.3,Home: 1.18x | Rested: 1.03x,False,1.06
Bobby Portis,points,17.5,17.7,0.9,-13.1,55.0,39.4,OVER,16.2,12.0,19.0,81.0,HOT,26,bovada,205,32.8,19.7,Home: 1.18x | Rested: 1.03x,False,1.06
Bobby Portis,points,11.5,17.7,53.6,6.2,65.0,39.4,OVER,16.2,12.0,50.0,50.0,HOT,26,bovada,-240,70.6,76.8,Home: 1.18x | Rested: 1.03x,False,1.06
Jalen Johnson,points,24.5,28.4,16.0,-3.1,69.0,39.3,OVER,28.0,23.2,43.0,57.0,HOT,23,fanduel,-120,54.5,51.5,Mins: 1.10x,False,1.1
Vit Krejci,points,6.5,8.5,30.5,7.5,57.0,36.3,OVER,9.0,10.0,64.0,36.0,COLD,22,bovada,-250,71.4,78.9,Home: 0.90x,False,1.06
Bobby Portis,points,12.5,17.7,41.3,-3.9,61.0,35.8,OVER,16.2,12.0,38.0,62.0,HOT,26,bovada,-170,63.0,59.1,Home: 1.18x | Rested: 1.03x,False,1.06
