player,prop_type,line,odds,side,projection,edge,confidence,prob_win,kelly_stake,bookmaker,flags
Gradey Dick,pra,9.5,-105,under,7.5,22.32,0.35,0.735,30.0,betmgm,"['LOW_CONFIDENCE', 'HIGH_EDGE_SUSPICIOUS']"
Mikal Bridges,points,15.5,-102,over,16.7,14.54,0.53,0.65,30.0,fanduel,['LOW_CONFIDENCE']
Josh Hart,points,12.5,-116,over,15.5,16.58,0.46,0.703,30.0,draftkings,"['LOW_CONFIDENCE', 'HIGH_EDGE_SUSPICIOUS']"
Sandro Mamukelashvili,points,9.5,-116,over,10.9,15.18,0.5,0.689,30.0,draftkings,"['LOW_CONFIDENCE', 'HIGH_EDGE_SUSPICIOUS']"
Deandre Ayton,points,13.5,-114,over,14.7,16.4,0.46,0.697,30.0,fanduel,"['LOW_CONFIDENCE', 'HIGH_EDGE_SUSPICIOUS']"
Shai Gilgeous-Alexander,assists,6.5,116,under,6.1,13.71,0.55,0.6,30.0,fanduel,['LOW_CONFIDENCE']
Dillon Brooks,points,19.5,-104,over,22.4,16.33,0.46,0.673,30.0,fanduel,"['LOW_CONFIDENCE', 'HIGH_EDGE_SUSPICIOUS']"
Rui Hachimura,points,11.5,-102,over,11.7,17.04,0.43,0.675,30.0,fanduel,"['LOW_CONFIDENCE', 'HIGH_EDGE_SUSPICIOUS']"
Collin Murray-Boyles,rebounds,3.5,127,under,2.8,26.04,0.28,0.701,30.0,draftkings,"['LOW_CONFIDENCE', 'HIGH_EDGE_SUSPICIOUS']"
Austin Reaves,rebounds,4.5,-136,over,5.7,16.57,0.43,0.742,30.0,fanduel,"['LOW_CONFIDENCE', 'HIGH_EDGE_SUSPICIOUS']"
Sandro Mamukelashvili,pra,17.5,140,over,18.1,12.89,0.55,0.546,30.0,bovada,['LOW_CONFIDENCE']
Deandre Ayton,rebounds,8.5,-128,over,10.1,16.23,0.44,0.724,30.0,fanduel,"['LOW_CONFIDENCE', 'HIGH_EDGE_SUSPICIOUS']"
De'Aaron Fox,rebounds,3.5,-114,over,3.9,13.59,0.52,0.669,30.0,fanduel,['LOW_CONFIDENCE']
Jakob Poeltl,pra,20.5,-103,over,21.1,12.75,0.55,0.635,30.0,draftkings,['LOW_CONFIDENCE']
Jake LaRavia,points,4.5,-114,over,6.5,21.35,0.33,0.746,30.0,fanduel,"['LOW_CONFIDENCE', 'HIGH_EDGE_SUSPICIOUS']"
De'Aaron Fox,pra,32.5,-120,over,35.4,13.11,0.51,0.677,30.0,fanduel,['LOW_CONFIDENCE']
Ochai Agbaji,rebounds,3.5,136,under,1.8,45.65,0.14,0.88,30.0,fanduel,"['LOW_CONFIDENCE', 'HIGH_EDGE_SUSPICIOUS']"
Sandro Mamukelashvili,pra,15.5,-128,over,18.1,15.09,0.43,0.712,30.0,draftkings,"['LOW_CONFIDENCE', 'HIGH_EDGE_SUSPICIOUS']"
Harrison Barnes,rebounds,3.5,-132,over,4.1,13.71,0.46,0.706,30.0,fanduel,['LOW_CONFIDENCE']
Sandro Mamukelashvili,points,10.5,120,over,10.9,12.52,0.5,0.58,30.0,betrivers,['LOW_CONFIDENCE']
Dillon Brooks,pra,24.5,-118,over,27.3,12.83,0.49,0.67,30.0,fanduel,['LOW_CONFIDENCE']
Mikal Bridges,points,12.5,-275,over,16.7,11.71,0.53,0.85,30.0,bovada,['LOW_CONFIDENCE']
Ochai Agbaji,pra,10.5,-190,under,6.3,19.31,0.32,0.848,30.0,bovada,"['LOW_CONFIDENCE', 'HIGH_EDGE_SUSPICIOUS']"
Ja'Kobe Walter,points,7.5,130,under,6.8,22.4,0.27,0.659,30.0,bovada,"['LOW_CONFIDENCE', 'HIGH_EDGE_SUSPICIOUS']"
Jamal Shead,points,7.5,-157,under,5.9,14.97,0.41,0.761,30.0,betrivers,['LOW_CONFIDENCE']
De'Aaron Fox,threes,2.5,104,under,2.4,12.18,0.5,0.612,30.0,fanduel,['LOW_CONFIDENCE']
Brandon Ingram,points,23.5,-124,under,21.2,10.93,0.55,0.663,30.0,draftkings,['LOW_CONFIDENCE']
Alex Caruso,points,4.5,-114,over,5.3,16.57,0.36,0.698,30.0,fanduel,"['LOW_CONFIDENCE', 'HIGH_EDGE_SUSPICIOUS']"
OG Anunoby,pra,20.5,-130,over,22.1,12.56,0.48,0.691,30.0,fanatics,"['SMALL_SAMPLE', 'LOW_CONFIDENCE']"
Jordan Clarkson,assists,2.5,141,under,1.8,28.37,0.21,0.699,30.0,betonlineag,"['LOW_CONFIDENCE', 'HIGH_EDGE_SUSPICIOUS']"
De'Aaron Fox,pra,33.5,-110,over,35.4,11.55,0.51,0.639,30.0,draftkings,['LOW_CONFIDENCE']
Luka Doncic,rebounds,8.5,-118,over,9.4,10.01,0.58,0.641,30.0,fanduel,['LOW_CONFIDENCE']
Oso Ighodaro,pra,9.5,-128,over,12.2,17.28,0.33,0.734,30.0,betonlineag,"['LOW_CONFIDENCE', 'HIGH_EDGE_SUSPICIOUS']"
Sandro Mamukelashvili,points,8.5,-165,over,10.9,14.31,0.39,0.766,30.0,bovada,['LOW_CONFIDENCE']
Devin Vassell,assists,2.5,158,under,2.4,20.39,0.27,0.591,30.0,fanduel,"['LOW_CONFIDENCE', 'HIGH_EDGE_SUSPICIOUS']"
Jordan Clarkson,rebounds,2.5,122,under,2.2,15.71,0.34,0.608,30.0,williamhill_us,"['LOW_CONFIDENCE', 'HIGH_EDGE_SUSPICIOUS']"
Jamal Shead,threes,1.5,145,under,0.6,49.04,0.11,0.899,30.0,draftkings,"['LOW_CONFIDENCE', 'HIGH_EDGE_SUSPICIOUS']"
Shai Gilgeous-Alexander,pra,43.5,-112,over,43.6,9.65,0.55,0.625,30.0,draftkings,['LOW_CONFIDENCE']
Devin Booker,pra,34.5,-109,over,31.4,-10.72,0.49,0.414,0.0,draftkings,['LOW_CONFIDENCE']
Jakob Poeltl,rebounds,8.5,107,over,8.4,8.87,0.58,0.572,30.0,draftkings,['LOW_CONFIDENCE']
Chet Holmgren,threes,1.5,100,under,1.2,18.45,0.28,0.684,30.0,fanduel,"['LOW_CONFIDENCE', 'HIGH_EDGE_SUSPICIOUS']"
Mikal Bridges,threes,2.5,158,under,2.0,30.24,0.16,0.69,30.0,betonlineag,"['LOW_CONFIDENCE', 'HIGH_EDGE_SUSPICIOUS']"
Luguentz Dort,points,6.5,-120,over,8.3,13.37,0.37,0.679,30.0,draftkings,['LOW_CONFIDENCE']
Jakob Poeltl,pra,17.5,-200,over,21.1,11.06,0.43,0.777,30.0,bovada,['LOW_CONFIDENCE']
Brandon Ingram,pra,33.5,-118,under,30.8,9.79,0.49,0.639,30.0,draftkings,['LOW_CONFIDENCE']
Gradey Dick,points,6.5,-110,under,5.0,19.08,0.25,0.715,30.0,betmgm,"['LOW_CONFIDENCE', 'HIGH_EDGE_SUSPICIOUS']"
Dylan Harper,points,12.5,104,over,13.0,9.31,0.51,0.583,30.0,fanduel,"['SMALL_SAMPLE', 'LOW_CONFIDENCE']"
Jordan Clarkson,rebounds,1.5,-192,over,2.2,13.66,0.34,0.794,30.0,draftkings,['LOW_CONFIDENCE']
Jordan Clarkson,pra,15.5,-106,under,12.6,15.91,0.29,0.674,30.0,fanduel,"['LOW_CONFIDENCE', 'HIGH_EDGE_SUSPICIOUS']"
Aaron Wiggins,threes,1.5,108,over,2.5,20.32,0.23,0.684,30.0,fanduel,"['SMALL_SAMPLE', 'LOW_CONFIDENCE', 'HIGH_EDGE_SUSPICIOUS']"
