player,prop_type,line,projection,raw_edge,avg_edge,confidence,recommended_side,recent_avg,season_avg,hit_rate_over,hit_rate_under,trend,games_analyzed,bookmaker,odds,implied_prob,our_prob,adjustments,is_b2b,minutes_factor
Ajay Mitchell,points,6.5,11.1,70.9,25.3,83.0,OVER,10.4,14.2,96.0,4.0,COLD,25,bovada,-230,69.7,95.0,Home: 0.93x | Rested: 1.03x,False,1.0
Shai Gilgeous-Alexander,points,34.5,33.7,-2.4,25.3,81.0,UNDER,32.4,32.6,33.0,67.0,NEUTRAL,24,bovada,135,42.6,67.9,Rested: 1.03x,False,0.99
Lonzo Ball,points,6.5,4.4,-32.4,25.1,51.0,UNDER,4.2,5.5,42.0,58.0,COLD,19,draftkings,104,49.0,74.1,Home: 0.93x | B2B: 0.93x,True,1.03
Jalen Johnson,threes,1.5,2.3,52.8,24.7,50.0,OVER,2.4,1.6,52.0,48.0,HOT,23,draftkings,-117,53.9,78.6,Home: 1.07x | B2B: 0.93x | Mins: 1.10x,True,1.1
Chet Holmgren,points,14.5,18.9,30.4,24.4,72.0,OVER,20.8,18.8,71.0,29.0,HOT,21,bovada,-165,62.3,86.6,Rested: 1.03x,False,0.91
Chet Holmgren,rebounds,6.5,8.1,24.1,24.4,79.0,OVER,8.4,8.0,86.0,14.0,NEUTRAL,21,bovada,-240,70.6,95.0,Rested: 1.03x,False,0.91
Ryan Rollins,threes,2.5,1.9,-25.3,23.8,60.0,UNDER,1.8,2.3,42.0,58.0,COLD,26,betonlineag,115,46.5,70.3,Home: 0.94x,False,0.96
Joel Embiid,pra,36.5,33.0,-9.6,22.9,58.0,UNDER,32.0,29.2,30.0,70.0,HOT,10,fanduel,-108,51.9,74.8,Home: 1.05x | B2B: 0.93x | Mins: 1.11x,True,1.11
Miles Bridges,pra,34.5,29.0,-16.1,22.8,79.0,UNDER,27.2,31.3,32.0,68.0,COLD,25,draftkings,-114,53.3,76.0,Home: 1.08x | B2B: 0.93x,True,0.94
Chet Holmgren,points,13.5,18.9,40.1,22.7,72.0,OVER,20.8,18.8,71.0,29.0,HOT,21,bovada,-220,68.8,91.5,Rested: 1.03x,False,0.91
Justin Champagnie,assists,1.5,1.5,-0.3,22.4,48.0,UNDER,1.6,0.9,24.0,76.0,HOT,21,williamhill_us,-117,53.9,76.4,B2B: 0.93x | Mins: 1.15x,True,1.63
C.J. McCollum,rebounds,3.5,2.9,-18.2,22.1,61.0,UNDER,2.6,3.1,39.0,61.0,COLD,23,williamhill_us,109,47.8,69.9,Home: 1.09x | B2B: 0.93x,True,1.08
Bennedict Mathurin,pra,30.5,24.4,-20.1,22.0,63.0,UNDER,24.6,28.3,36.0,64.0,COLD,14,fanduel,-110,52.4,74.3,B2B: 0.93x,True,0.94
Shai Gilgeous-Alexander,points,29.5,33.7,14.1,21.9,85.0,OVER,32.4,32.6,79.0,21.0,NEUTRAL,24,bovada,-180,64.3,86.2,Rested: 1.03x,False,0.99
Shai Gilgeous-Alexander,points,27.5,33.7,22.4,21.7,85.0,OVER,32.4,32.6,88.0,12.0,NEUTRAL,24,bovada,-275,73.3,95.0,Rested: 1.03x,False,0.99
Cason Wallace,threes,0.5,1.5,192.3,21.7,71.0,OVER,1.4,1.5,88.0,12.0,COLD,24,bovada,-275,73.3,95.0,Home: 1.14x | Rested: 1.03x | Mins: 0.85x,False,0.84
Chet Holmgren,points,17.5,18.9,8.0,21.5,69.0,OVER,20.8,18.8,62.0,38.0,HOT,21,bovada,125,44.4,65.9,Rested: 1.03x,False,0.91
Ziaire Williams,points,7.5,10.5,40.2,21.3,54.0,OVER,9.2,9.3,57.0,43.0,NEUTRAL,21,betonlineag,-127,55.9,77.3,Home: 1.26x | B2B: 0.93x,True,0.98
De'Andre Hunter,rebounds,4.5,3.3,-26.8,20.9,73.0,UNDER,3.2,4.3,36.0,64.0,COLD,22,draftkings,-128,56.1,77.1,B2B: 0.93x,True,0.97
Jarace Walker,rebounds,3.5,3.7,4.9,20.7,71.0,OVER,3.8,5.0,68.0,32.0,COLD,25,williamhill_us,101,49.8,70.5,Home: 1.05x | B2B: 0.93x | Mins: 0.85x,True,0.75
De'Andre Hunter,points,16.5,12.4,-24.9,20.5,68.0,UNDER,11.0,15.9,41.0,59.0,COLD,22,fanduel,-104,51.0,71.5,B2B: 0.93x,True,0.97
Chet Holmgren,points,18.5,18.9,2.2,19.8,68.0,OVER,20.8,18.8,57.0,43.0,HOT,21,bovada,160,38.5,58.2,Rested: 1.03x,False,0.91
Miles Bridges,threes,2.5,1.6,-36.3,19.6,52.0,UNDER,1.0,2.4,52.0,48.0,COLD,25,draftkings,115,46.5,66.1,Home: 1.20x | B2B: 0.93x,True,0.94
Shai Gilgeous-Alexander,points,28.5,33.7,18.1,19.5,85.0,OVER,32.4,32.6,79.0,21.0,NEUTRAL,24,bovada,-220,68.8,88.2,Rested: 1.03x,False,0.99
Michael Porter Jr,threes,3.5,4.0,14.8,19.3,64.0,OVER,4.8,3.6,60.0,40.0,HOT,20,draftkings,108,48.1,67.4,B2B: 0.93x,True,1.0
Chet Holmgren,points,16.5,18.9,14.6,19.2,69.0,OVER,20.8,18.8,62.0,38.0,HOT,21,bovada,100,50.0,69.2,Rested: 1.03x,False,0.91
Joel Embiid,pra,35.5,33.0,-7.0,19.2,58.0,UNDER,32.0,29.2,30.0,70.0,HOT,10,draftkings,-119,54.3,73.5,Home: 1.05x | B2B: 0.93x | Mins: 1.11x,True,1.11
Luguentz Dort,rebounds,3.5,3.6,2.6,19.2,56.0,OVER,3.4,3.9,62.0,38.0,COLD,16,fanduel,124,44.6,63.8,Rested: 1.03x,False,0.92
Terance Mann,assists,3.5,4.2,18.8,18.9,59.0,OVER,4.0,3.7,55.0,45.0,HOT,22,draftkings,122,45.0,64.0,Home: 1.11x | B2B: 0.93x,True,0.97
Kon Knueppel,rebounds,5.5,4.1,-25.3,18.8,67.0,UNDER,4.4,5.4,48.0,52.0,COLD,25,fanduel,118,45.9,64.7,Home: 0.95x | B2B: 0.93x,True,1.02
Cason Wallace,points,6.5,7.9,21.0,18.5,69.0,OVER,6.6,8.5,62.0,38.0,COLD,24,betmgm,-120,54.5,73.0,Home: 1.16x | Rested: 1.03x | Mins: 0.85x,False,0.84
Dean Wade,rebounds,4.5,3.8,-16.1,18.2,66.0,UNDER,4.0,3.8,33.0,67.0,NEUTRAL,24,fanduel,-130,56.5,74.7,B2B: 0.93x,True,1.02
Devin Vassell,threes,2.5,3.0,19.6,18.1,54.0,OVER,2.8,2.7,50.0,50.0,NEUTRAL,24,bovada,140,41.7,59.8,Rested: 1.03x,False,0.91
Chet Holmgren,points,15.5,18.9,22.0,17.9,69.0,OVER,20.8,18.8,62.0,38.0,HOT,21,fanduel,-122,55.0,72.9,Rested: 1.03x,False,0.91
Gary Trent Jr,points,11.5,9.6,-16.2,17.7,68.0,UNDER,9.4,9.8,38.0,62.0,NEUTRAL,26,fanduel,-108,51.9,69.6,None,False,0.96
T.J. McConnell,rebounds,2.5,1.6,-36.3,17.5,43.0,UNDER,1.6,2.4,40.0,60.0,COLD,15,betonlineag,-154,60.6,78.1,Home: 0.94x | B2B: 0.93x | Mins: 0.85x,True,0.85
Nicolas Claxton,rebounds,7.5,9.1,20.8,17.3,74.0,OVER,9.8,7.8,62.0,38.0,HOT,24,draftkings,-125,55.6,72.9,Home: 1.10x | B2B: 0.93x,True,1.06
Luke Kennard,points,6.5,4.4,-32.1,17.2,57.0,UNDER,6.6,7.3,48.0,52.0,COLD,23,williamhill_us,-104,51.0,68.2,Home: 0.70x | B2B: 0.93x,True,0.92
Day'Ron Sharpe,points,6.5,6.5,-0.1,17.0,60.0,UNDER,8.6,7.0,35.0,65.0,HOT,23,draftkings,107,48.3,65.3,Home: 0.93x | B2B: 0.93x,True,0.98
Ryan Kalkbrenner,rebounds,6.5,5.5,-15.9,16.9,72.0,UNDER,6.6,6.7,39.0,61.0,NEUTRAL,23,draftkings,-108,51.9,68.8,Home: 0.91x | B2B: 0.93x,True,1.03
Kyshawn George,points,15.5,13.0,-16.0,16.6,64.0,UNDER,13.0,15.1,38.0,62.0,COLD,21,williamhill_us,-114,53.3,69.9,B2B: 0.93x,True,0.99
Nickeil Alexander-Walker,threes,2.5,3.4,34.8,16.6,58.0,OVER,4.0,2.9,54.0,46.0,HOT,24,fanduel,-122,55.0,71.6,B2B: 0.93x,True,1.0
Terance Mann,rebounds,3.5,3.8,9.2,16.5,58.0,OVER,3.6,3.5,59.0,41.0,NEUTRAL,22,betonlineag,112,47.2,63.7,Home: 1.08x | B2B: 0.93x,True,0.97
Kon Knueppel,threes,3.5,2.5,-27.6,16.4,64.0,UNDER,3.4,3.4,52.0,48.0,NEUTRAL,25,draftkings,120,45.5,61.8,Home: 0.78x | B2B: 0.93x,True,1.02
Chet Holmgren,points,19.5,18.9,-3.0,15.8,65.0,UNDER,20.8,18.8,52.0,48.0,HOT,21,bovada,200,33.3,49.1,Rested: 1.03x,False,0.91
Vit Krejci,rebounds,2.5,2.4,-5.8,15.7,64.0,UNDER,2.2,2.3,41.0,59.0,NEUTRAL,22,fanduel,116,46.3,62.0,Home: 1.12x | B2B: 0.93x,True,1.06
Darius Garland,pra,27.5,23.0,-16.4,15.6,57.0,UNDER,25.4,23.6,40.0,60.0,HOT,10,draftkings,-111,52.6,68.2,Home: 0.92x | B2B: 0.93x | Mins: 1.11x,True,1.11
Chet Holmgren,rebounds,7.5,8.1,7.5,14.9,73.0,OVER,8.4,8.0,67.0,33.0,NEUTRAL,21,fanduel,-125,55.6,70.4,Rested: 1.03x,False,0.91
Myles Turner,points,12.5,9.6,-23.5,14.8,68.0,UNDER,10.6,12.3,46.0,54.0,COLD,26,betonlineag,-103,50.7,65.6,Mins: 0.85x,False,0.85
Ziaire Williams,threes,1.5,1.8,17.7,14.4,47.0,OVER,1.6,1.7,48.0,52.0,NEUTRAL,21,fanduel,138,42.0,56.5,Home: 1.20x | B2B: 0.93x,True,0.98
Cason Wallace,threes,1.5,1.5,-2.6,14.3,60.0,UNDER,1.4,1.5,50.0,50.0,COLD,24,bovada,170,37.0,51.3,Home: 1.14x | Rested: 1.03x | Mins: 0.85x,False,0.84
Chet Holmgren,rebounds,8.5,8.1,-5.1,14.2,71.0,UNDER,8.4,8.0,43.0,57.0,NEUTRAL,21,bovada,120,45.5,59.7,Rested: 1.03x,False,0.91
Donovan Mitchell,threes,3.5,4.0,13.7,14.0,67.0,OVER,4.6,4.2,58.0,42.0,HOT,24,draftkings,-105,51.2,65.2,B2B: 0.93x,True,1.0
Danny Wolf,pra,15.5,13.5,-13.2,13.7,40.0,UNDER,20.0,14.7,40.0,60.0,HOT,10,betonlineag,-112,52.8,66.6,Home: 0.75x | B2B: 0.93x | Mins: 1.15x,True,1.4
Kyshawn George,threes,2.5,2.7,6.1,13.6,54.0,OVER,2.8,2.5,52.0,48.0,HOT,21,draftkings,139,41.8,55.4,Home: 1.08x | B2B: 0.93x,True,0.99
