prop_id,player_name,prop_type,line,odds,pick,edge,confidence,projection,probability,injury_status,injury_source,trend,avg_5,avg_10,avg_15,streak,hit_rate_10,samples_10,hit_rate_15,samples_15
4ca49f035ca2788b:points:10.5:under,Klay Thompson,points,10.5,-107,PASS,-0.0169,0.1,10.5,0.5,QUESTIONABLE,NBA Official Report,UNKNOWN,,,,0,,0,,0
7e17dfaa4418e311:points:12.5:over,Saddiq Bey,points,12.5,-109,PASS,-0.0215,0.2,12.5,0.5,,,UNKNOWN,,,,0,,0,,0
7e17dfaa4418e311:points:12.5:under,Saddiq Bey,points,12.5,-117,PASS,-0.0392,0.2,12.5,0.5,,,UNKNOWN,,,,0,,0,,0
08937c7231a9a619:pra:30.5:over,Cooper Flagg,pra,30.5,-122,PASS,0.0973,0.1936,33.67,0.6468,QUESTIONABLE,NBA Official Report,UP,37.0,34.5,32.0,0,,0,,0
08937c7231a9a619:pra:30.5:under,Cooper Flagg,pra,30.5,-108,PASS,-0.1661,0.1936,33.67,0.3532,QUESTIONABLE,NBA Official Report,UP,37.0,34.5,32.0,0,,0,,0
f7e5f5c37ffec5f7:pra:28.5:over,Trey Murphy III,pra,28.5,-106,PASS,-0.0146,0.2,28.5,0.5,,,UNKNOWN,,,,0,,0,,0
f7e5f5c37ffec5f7:pra:28.5:under,Trey Murphy III,pra,28.5,-122,PASS,-0.0495,0.2,28.5,0.5,,,UNKNOWN,,,,0,,0,,0
75bb0beb4aef286b:pra:21.5:over,Naji Marshall,pra,21.5,-106,PASS,-0.0146,0.2,21.5,0.5,,,UNKNOWN,,,,0,,0,,0
75bb0beb4aef286b:pra:21.5:under,Naji Marshall,pra,21.5,-122,PASS,-0.0495,0.2,21.5,0.5,,,UNKNOWN,,,,0,,0,,0
7c0a71dba5efab2c:pra:26.5:over,P.J. Washington,pra,26.5,-103,PASS,-0.0074,0.2,26.5,0.5,,,UNKNOWN,,,,0,,0,,0
7c0a71dba5efab2c:pra:26.5:under,P.J. Washington,pra,26.5,-125,PASS,-0.0556,0.2,26.5,0.5,,,UNKNOWN,,,,0,,0,,0
edd43e3a6b6d2de3:pra:24.5:over,Derik Queen,pra,24.5,-118,OVER,0.1834,0.4493,28.8,0.7247,,,UP,32.2,26.7,27.866666666666667,2,0.6,10,0.6,15
edd43e3a6b6d2de3:pra:24.5:under,Derik Queen,pra,24.5,-112,PASS,-0.253,0.4493,28.8,0.2753,,,UP,32.2,26.7,27.866666666666667,0,,0,,0
be195dd4a64cb831:pra:29.5:over,Zion Williamson,pra,29.5,-115,PASS,-0.0349,0.2,29.5,0.5,,,UNKNOWN,,,,0,,0,,0
