report_date,player,player_team,opponent,home_away,matchup,prop_type,line,over_odds,bookmaker,season_avg,recent_5_avg,median,std_dev,min,max,games_analyzed,times_over,times_under,times_push,over_rate_pct,is_back_to_back,days_rest,recent_mins_avg,season_mins_avg,minutes_factor,opp_defense_factor,opp_defense_rank,team_pace_factor,opp_pace_factor,combined_pace,vegas_game_total,blowout_risk,model_projection,base_projection,edge_pct,confidence_pct,recommended_pick,context_flags,adj_defense_pct,adj_location_pct,adj_b2b_pct,adj_pace_pct,adj_game_total_pct,adj_blowout_pct,adj_minutes_pct
12-06-2025,Ivica Zubac,LAC,MIN,AWAY,LAC @ MIN,assists,2.5,-121,draftkings,2.7,3.4,2.0,1.61,0.0,6.0,23,11,12,0,47.8,True,2,35.2,32.6,1.079,0.973,19,0.976,1.005,0.99,227.5,MEDIUM,2.0,2.2,-19.6,48.0,UNDER,⚠️ B2B | ⏰ MINS UP,-2.7,-2.5,-8.0,-1.0,0.0,-2.0,7.9
12-06-2025,Naz Reid,MIN,LAC,HOME,LAC @ MIN,assists,2.5,-104,draftkings,2.4,4.0,2.0,1.5,0.0,6.0,22,8,14,0,36.4,False,2,29.4,25.5,1.151,1.021,9,1.005,0.976,0.99,227.5,MEDIUM,2.0,1.8,-19.5,69.0,UNDER,⏰ MINS UP,2.1,2.5,0.0,-1.0,0.0,-2.0,10.0
12-06-2025,Kevin Durant,HOU,DAL,AWAY,HOU @ DAL,points,26.5,-102,fanduel,25.2,24.4,24.5,6.97,11.0,37.0,18,7,11,0,38.9,True,2,33.8,35.6,0.951,0.991,16,0.985,1.001,0.993,220.5,MEDIUM,21.3,26.1,-19.5,59.0,UNDER,⚠️ B2B,-0.9,-2.5,-8.0,-0.7,-0.6,-2.0,-4.9
12-06-2025,Carlton Carrington,WAS,ATL,HOME,ATL @ WAS,assists,4.5,-122,fanduel,4.0,3.8,3.0,2.35,1.0,11.0,21,9,12,0,42.9,False,2,24.8,25.2,0.983,1.009,12,1.015,1.007,1.011,237.5,MEDIUM,3.6,3.6,-19.4,55.0,UNDER,,0.9,2.5,0.0,1.1,0.0,-2.0,-1.7
12-06-2025,Cam Whitmore,WAS,ATL,HOME,ATL @ WAS,points,11.5,-111,fanduel,9.2,6.6,8.0,6.25,0.0,20.0,21,6,15,0,28.6,False,2,15.8,16.9,0.937,1.012,10,1.015,1.007,1.011,237.5,MEDIUM,9.3,9.5,-19.1,54.0,UNDER,📈 HIGH TOTAL | ⏰ MINS DOWN,1.2,2.5,0.0,1.1,1.7,-2.0,-6.3
12-06-2025,P.J. Washington,DAL,HOU,HOME,HOU @ DAL,pra,21.5,-114,draftkings,26.1,29.8,27.0,8.05,6.0,44.0,19,15,4,0,78.9,False,2,34.2,31.6,1.083,0.945,26,1.001,0.985,0.993,220.5,MEDIUM,25.6,25.2,18.9,76.0,OVER,🛡️ TOUGH DEF | ⏰ MINS UP,-5.5,2.5,0.0,-0.7,-0.6,-2.0,8.3
12-06-2025,Myles Turner,MIL,DET,AWAY,MIL @ DET,assists,1.5,130,betmgm,1.8,1.8,2.0,1.1,0.0,5.0,24,14,10,0,58.3,True,2,24.2,28.8,0.842,0.897,29,0.991,1.002,0.996,224.5,HIGH,1.8,2.6,18.8,54.0,OVER,🛡️ TOUGH DEF | ⚠️ B2B | 💨 BLOWOUT RISK | ⏰ MINS DOWN,-10.3,-2.5,-8.0,-0.4,0.0,-5.0,-10.0
12-06-2025,Kyshawn George,WAS,ATL,HOME,ATL @ WAS,points,15.5,-111,fanduel,15.2,11.4,15.0,7.8,5.0,34.0,19,8,11,0,42.1,False,2,31.0,31.2,0.995,1.012,10,1.015,1.007,1.011,237.5,MEDIUM,18.4,17.7,18.8,65.0,OVER,📈 HIGH TOTAL,1.2,2.5,0.0,1.1,1.7,-2.0,-0.5
12-06-2025,P.J. Washington,DAL,HOU,HOME,HOU @ DAL,rebounds,6.5,116,fanduel,7.8,8.8,8.0,2.71,0.0,12.0,19,15,4,0,78.9,False,2,34.2,31.6,1.083,0.892,30,1.001,0.985,0.993,220.5,MEDIUM,7.7,8.0,18.6,76.0,OVER,🛡️ TOUGH DEF | ⏰ MINS UP,-10.8,2.5,0.0,-0.7,0.0,-2.0,8.3
12-06-2025,Amen Thompson,HOU,DAL,AWAY,HOU @ DAL,assists,5.5,-148,fanduel,5.0,4.6,5.0,2.61,1.0,9.0,20,9,11,0,45.0,True,2,35.0,36.0,0.971,0.961,22,0.985,1.001,0.993,220.5,MEDIUM,4.5,5.5,-18.5,57.0,UNDER,⚠️ B2B,-3.9,-2.5,-8.0,-0.7,0.0,-2.0,-2.9
