prop_id,player_id,player_name,prop_type,side,line,event_id,home_team,away_team,game_time,player_team,opponent_team,is_home,rest_days,b2b,projection,probability,model_probability,market_probability,edge,confidence,confidence_tier,adjustments,adjustment_notes,avg_5,avg_10,avg_15,trend,recent_hit_rate_10,recent_hit_rate_15,recent_streak,team_out_count,team_questionable_count,team_probable_count,usage_expectation,pick,odds,injury_status,injury_source,injury_detail,market_over_odds,market_prob,market_under_odds,reason
17c40c7eb7c61bc4:pra:24.5:under,17c40c7eb7c61bc4,Paul George,pra,under,24.5,7f3e47eb90701b1603802828cc5ea7a5,PHI,BKN,2025-12-24T00:10:00Z,PHI,BKN,True,,,24.75,0.4917,0.4842,0.495,-0.0388,0.16,LOW,{'home': 1.01},home,0.0,0.0,0.0,FLAT,,,,2,3,1,Teammates OUT: 2; Teammates Q: 3,PASS,-113,,,,,,,
13241614e2363f7b:rebounds:3.5:over,13241614e2363f7b,Egor Demin,rebounds,over,3.5,7f3e47eb90701b1603802828cc5ea7a5,PHI,BKN,2025-12-24T00:10:00Z,,,,,,3.5,0.4526,0.5,0.4323,-0.0103,0.16,LOW,,,0.0,0.0,0.0,FLAT,,,,0,0,0,,PASS,116,,,,,,,
13241614e2363f7b:rebounds:3.5:under,13241614e2363f7b,Egor Demin,rebounds,under,3.5,7f3e47eb90701b1603802828cc5ea7a5,PHI,BKN,2025-12-24T00:10:00Z,,,,,,3.5,0.5474,0.5,0.5677,-0.0605,0.16,LOW,,,0.0,0.0,0.0,FLAT,,,,0,0,0,,PASS,-155,,,,,,,
4ecbd8a26452323a:rebounds:8.5:over,4ecbd8a26452323a,Nicolas Claxton,rebounds,over,8.5,7f3e47eb90701b1603802828cc5ea7a5,PHI,BKN,2025-12-24T00:10:00Z,,,,,,8.5,0.4607,0.5,0.4438,-0.0155,0.16,LOW,,,0.0,0.0,0.0,FLAT,,,,0,0,0,,PASS,110,,,,,,,
4ecbd8a26452323a:rebounds:8.5:under,4ecbd8a26452323a,Nicolas Claxton,rebounds,under,8.5,7f3e47eb90701b1603802828cc5ea7a5,PHI,BKN,2025-12-24T00:10:00Z,,,,,,8.5,0.5393,0.5,0.5562,-0.0574,0.16,LOW,,,0.0,0.0,0.0,FLAT,,,,0,0,0,,PASS,-148,,,,,,,
9435460277dc2859:rebounds:4.5:over,9435460277dc2859,Noah Clowney,rebounds,over,4.5,7f3e47eb90701b1603802828cc5ea7a5,PHI,BKN,2025-12-24T00:10:00Z,,,,,,4.5,0.4466,0.5,0.4237,-0.008,0.16,LOW,,,0.0,0.0,0.0,FLAT,,,,0,0,0,,PASS,120,,,,,,,
9435460277dc2859:rebounds:4.5:under,9435460277dc2859,Noah Clowney,rebounds,under,4.5,7f3e47eb90701b1603802828cc5ea7a5,PHI,BKN,2025-12-24T00:10:00Z,,,,,,4.5,0.5534,0.5,0.5763,-0.0649,0.16,LOW,,,0.0,0.0,0.0,FLAT,,,,0,0,0,,PASS,-162,,,,,,,
232d2c6cb0f702e0:rebounds:7.5:over,232d2c6cb0f702e0,Joel Embiid,rebounds,over,7.5,7f3e47eb90701b1603802828cc5ea7a5,PHI,BKN,2025-12-24T00:10:00Z,PHI,BKN,True,,,7.58,0.4991,0.5158,0.492,-0.0292,0.11,LOW,{'home': 1.01},home,0.0,0.0,0.0,FLAT,,,,2,3,1,Teammates OUT: 2; Teammates Q: 3; Player status: PROBABLE,PASS,-112,PROBABLE,NBA Official Report,Injury/Illness - Right Knee; Injury Management,,,,
232d2c6cb0f702e0:rebounds:7.5:under,232d2c6cb0f702e0,Joel Embiid,rebounds,under,7.5,7f3e47eb90701b1603802828cc5ea7a5,PHI,BKN,2025-12-24T00:10:00Z,PHI,BKN,True,,,7.58,0.5009,0.4842,0.508,-0.0446,0.11,LOW,{'home': 1.01},home,0.0,0.0,0.0,FLAT,,,,2,3,1,Teammates OUT: 2; Teammates Q: 3; Player status: PROBABLE,PASS,-120,PROBABLE,NBA Official Report,Injury/Illness - Right Knee; Injury Management,,,,
3cfc8bdeebb00461:rebounds:3.5:over,3cfc8bdeebb00461,Tyrese Maxey,rebounds,over,3.5,7f3e47eb90701b1603802828cc5ea7a5,PHI,BKN,2025-12-24T00:10:00Z,PHI,BKN,True,,,3.54,0.5486,0.514,0.5635,-0.0546,0.16,LOW,{'home': 1.01},home,0.0,0.0,0.0,FLAT,,,,2,3,1,Teammates OUT: 2; Teammates Q: 3,PASS,-152,,,,,,,
3cfc8bdeebb00461:rebounds:3.5:under,3cfc8bdeebb00461,Tyrese Maxey,rebounds,under,3.5,7f3e47eb90701b1603802828cc5ea7a5,PHI,BKN,2025-12-24T00:10:00Z,PHI,BKN,True,,,3.54,0.4514,0.486,0.4365,-0.0159,0.16,LOW,{'home': 1.01},home,0.0,0.0,0.0,FLAT,,,,2,3,1,Teammates OUT: 2; Teammates Q: 3,PASS,114,,,,,,,
17c40c7eb7c61bc4:rebounds:4.5:over,17c40c7eb7c61bc4,Paul George,rebounds,over,4.5,7f3e47eb90701b1603802828cc5ea7a5,PHI,BKN,2025-12-24T00:10:00Z,PHI,BKN,True,,,4.54,0.5382,0.5158,0.5477,-0.0469,0.16,LOW,{'home': 1.01},home,0.0,0.0,0.0,FLAT,,,,2,3,1,Teammates OUT: 2; Teammates Q: 3,PASS,-141,,,,,,,
17c40c7eb7c61bc4:rebounds:4.5:under,17c40c7eb7c61bc4,Paul George,rebounds,under,4.5,7f3e47eb90701b1603802828cc5ea7a5,PHI,BKN,2025-12-24T00:10:00Z,PHI,BKN,True,,,4.54,0.4618,0.4842,0.4523,-0.0212,0.16,LOW,{'home': 1.01},home,0.0,0.0,0.0,FLAT,,,,2,3,1,Teammates OUT: 2; Teammates Q: 3,PASS,107,,,,,,,
7cf633d771671707:rebounds:7.5:over,7cf633d771671707,Michael Porter Jr,rebounds,over,7.5,7f3e47eb90701b1603802828cc5ea7a5,PHI,BKN,2025-12-24T00:10:00Z,BKN,PHI,False,,,7.35,0.4994,0.4675,0.5131,-0.0502,0.16,LOW,{'pace': 0.98},slow pace,0.0,0.0,0.0,FLAT,,,,3,0,2,Teammates OUT: 3,PASS,-122,,,,,,,
